post_title,post_content,post_status,featured_image_url,gallery_category,slug,source_html
Фьюзинг,Фьюзинг. Контент перенесен из статической версии сайта и доступен для редактирования в админке.,publish,,Фьюзинг,fyuzing,gallery/fyuzing.html
Окна,"Витражные окна – самый древний способ использования цветного стекла, впервые такие окна появились уже в раннехристианских храмах. В знаменитом соборе французского Шартра XII-XIII веков около двух тысяч кв.м. цветных витражей в 150 окнах. За прошедшие века разноцветные окна стали популярным украшением не только храмов, но и жилых домов. Витражные окна отлично впишутся и в современный интерьер, расцвечивая помещение множеством красок, и одновременно защищая от яркого солнца. Самая скромная комната с окном из разноцветного стекла превратится в волшебный дворец.",publish,,Окна,okna,gallery/okna.html
От эскиза к витражу,Текст Текст Текст Текст Текст Текст Текст Текст Текст,publish,,От эскиза к витражу,podarki,gallery/podarki.html
Двери,"Не зависимо от изменений моды на некоторые архитектурные изыски, двери были и останутся главным изоляционным элементом, который отделяет помещение одно от другого. Десятилетия назад при изготовлении дверей за основу брали только принципы фундаментальности, а сегодня людей больше интересует эстетический аспект изделия. Кроме классических дверей, которые различаются по стилю, цветовой гамме и материалу изготовления, покупатель может выбирать и среди межкомнатных дверей с витражами , которые обладают оригинальностью и эксклюзивностью. Сегодня разнообразные техники по обработке стела способны превратить обычную межкомнатную дверь в элегантное произведение искусства, которое станет настоящим украшением интерьера. Всегда двери, украшенные узорами, вызывали восхищение и привлекали внимание. Раньше дверьми с витражами могли похвастаться только купеческие дома, дорогие ресторан и церкви. Сегодня же доступность витражей позволяет устанавливать их в любые двери, привнося изюминку в интерьер помещения. Витражи могут быть разных форм, с различными композициями и цветовыми решениями. Спросом пользуются витражи, которые содержат растительный мотив либо элементы орнамента. Двери с витражами будут красиво смотреться при условии правильного подбора цветовой гаммы под освещение комнаты. Для помещения хорошо освещенного предпочтительнее выбирать более яркие композиции, изготовленные из мелких кусочков стекла. При установке двери в малоосвещенной комнате, композиция витража должна быть из крупного стекла и в постельных тонах. Двери с витражами благодаря игре света создают потрясающие эффекты. Кроме того, они способны задать тон общему интерьеру, сделав его сумрачным либо парадным. В интерьере, в котором используется витраж, витает некая загадочность – ассоциация с церковью и старинным музеем дает о себе знать. По сравнению с дверьми, межкомнатные перегородки с витражами менее распространены. Однако такой дизайнерский прием находит все больше поклонников. Перегородка с витражом являются легкой и воздушной конструкцией. Особенно красиво это смотрится, когда необходимо только разделить пространство, а не отгородить одно от другого. Благодаря прозрачности витражной перегородки, создается впечатление плавного перетекания помещения одного в другое. А двусторонность витража в такой перегородке вносит общий элемент в оба помещения.",publish,,Двери,dveri,gallery/dveri.html
Мозаика,"Где используется стеклянная мозаика Этот материал актуален еще с древних времен. Его используют при отделке стен и пола, а благодаря своей великолепной функциональности мозаика из стекла популярна и в современном мире. С ее помощью создают уникальные по красоте интерьеры. Главным преимуществом этого материала можно назвать водонепроницаемость. Это позволяет использовать мозаику из стекла в отделке таких помещений, как душевые и ванные комнаты. Кроме этого, можно встретить бассейны и фонтаны, оформленные с помощью такого материала. Помещения, в которых влажность повышена, нуждаются в определенной защите, а стеклянная мозаика не только обеспечивает эту защиту, но и обладает устойчивостью к воздействию на нее химическими средствами. Любая хозяйка сможет без каких-либо проблем поддерживать чистоту и красивый внешний вид поверхности с отделкой из такого материала. Мозаика из стекла обладает небольшими размерами, что позволяет выровнять любую поверхность, которая после отделки будет иметь очень аккуратный вид. Высокая термостойкость такого материала позволяет использовать его в отделке каминов или печей, а также саун и бань. Украшенный таким образом камин приобретает ни с чем не сравнимую уникальность.",publish,,Мозаика,mozaika,gallery/mozaika.html
Интерьеры,Интерьеры. Контент перенесен из статической версии сайта и доступен для редактирования в админке.,publish,,Интерьеры,interery,gallery/interery.html
Перегородки,"Ни какой другой элемент декора не станет настолько эффектным украшением интерьера как витраж. Именно наличие этого атрибута придаст изысканность и неповторимость вашему пространству, а игра цветного света наполнит уютом и теплотой. Создавая уют в своем доме, люди стремятся гармонично сочетать главные атрибуты интерьера и освещение. Витраж сможет удивительным образом подчеркнуть неповторимость и индивидуальный стиль интерьера дома, офиса или квартиры. Применение такого рода стекол довольно разнообразно. А в последнее время традиционное применение витражей стало актуальным для дверей, окон и даже потолков. Современные технологии шагнули далеко вперед и позволяют использовать красочные витражи для создания интересных перегородок, душевых кабин, фасадов шкаф-купе и некоторых других элементов из стекла и зеркала.",publish,,Перегородки,peregorodki,gallery/peregorodki.html
Потолки,"Витражные потолки сегодня являются одним из способов выразить свою индивидуальность при создании интерьера. Широкие возможности игры с цветами, размерами и формами, а также возможность создания неповторимого и уникального рисунка для помещения любого назначения и на любой вкус – всё это выделяет витражные потолки среди прочих вариантов оформления потолков. Состоят витражные потолки из металлической подвесной системы с направляющими и стеклянных плит – квадратов с орнаментом или элементами рисунка. Существует несколько типов витражных потолков: Дизайнеры выделяют многие преимущества витражных потолков перед прочими. Среди них прежде всего – высокая декоративность, благодаря чему помещения с витражными потолками имеют неповторимый внешний вид.",publish,,Потолки,potolki,gallery/potolki.html
Светильники,Светильники. Контент перенесен из статической версии сайта и доступен для редактирования в админке.,publish,,Светильники,svetilniki,gallery/svetilniki.html
Роспись,Роспись. Контент перенесен из статической версии сайта и доступен для редактирования в админке.,publish,,Роспись,rospis,gallery/rospis.html
